# Page recording

Recorded for 337 seconds.
Every four-byte word, and what it did. A word that never changed is
padding, a setting, or something this session never reached — and a
word that swept a wide range is a live measurement.


═══ acpmf_physics ═══
2048 bytes, 8376 samples

── words that changed (128 of 512) ──
offset       float min      float max       int min      int max  values
  1312          0.0000         0.0000       -313392            0     32+
  1328          0.0000         0.0000             0      3801133       2
  1332          0.0000         0.0000             0      2949165       2
  1336          0.0000         0.0000             0      2949178       2
  1340          0.0000         0.0000             0      2949165       2
  1364          0.0000         0.0000             0      3473459       2
  1368          0.0000         0.0000             0      3735607       2
  1372          0.0000         0.0000             0      3801137       2
  1376          0.0000         0.0000             0      3342386       2
  1380          0.0000         0.0000             0      3539002       2
  1384          0.0000         0.0000             0      3604532       2
  1396          0.0000         0.0000             0   2147483647       2
  1404          0.0000         0.0000             0        72282     32+
  1408          0.0000         0.0000             0            1       2
  1412          0.0000        14.6226             0   1097463384       2
  1416          0.0000         0.0000             0     69927953       2
  1420          0.0000         0.0000             0     69338145       2
  1424          0.0000         0.0000             0      3015712       2
  1484          0.0000         0.0000             0          255       2
  1488          0.0000     32720.0098             0   1191157765     32+
  1500          0.0000         0.0000             0            1       2
  1508          0.0000         0.0000             0            1       2
  1520          0.0000         0.0000             0            1       2
  1528          0.0000         0.0000             0            1       2
  1540          0.0000        25.6000             0   1103940813       2
  1544          0.0000        25.6000             0   1103940813       2
  1548          0.0000        24.8000             0   1103521383       2
  1552          0.0000        24.8000             0   1103521383       2
  1556          0.0000         0.0000             0            1       2
  1572          0.0000         0.0000             0            2       2
  1576          0.0000         0.0000             0            2       2

── words that never changed (428) ──
